transect_id,distance_along_coast_x,distance_along_coast_y,nsm_pixels,epr_pixels_per_year,mac_pixels_per_year,change_type,num_years_data,position_1994,position_2004,position_2014,position_2024
29,1450.0,1450.0,0.0,0.0,0.0,Stable,4,53.213113359791905,53.213113359791905,53.213113359791905,53.213113359791905
30,1500.0,1500.0,0.0,0.0,0.0,Stable,4,0.6293007395310586,0.6293007395310586,0.6293007395310586,0.6293007395310586
31,1550.0,1550.0,0.0,0.0,0.0,Stable,4,1.3056352124880308,1.3056352124880308,1.3056352124880308,1.3056352124880308
32,1600.0,1600.0,0.0,0.0,0.0,Stable,4,97.26143967241883,97.26143967241883,97.26143967241883,97.26143967241883
33,1650.0,1650.0,0.0,0.0,0.0,Stable,4,94.21902914074163,94.21902914074163,94.21902914074163,94.21902914074163
34,1700.0,1700.0,0.0,0.0,0.0,Stable,4,91.38548118858803,91.38548118858803,91.38548118858803,91.38548118858803
35,1750.0,1750.0,0.0,0.0,0.0,Stable,4,0.5459017487051417,0.5459017487051417,0.5459017487051417,0.5459017487051417
36,1800.0,1800.0,0.0,0.0,0.0,Stable,4,9.076230838770387,9.076230838770387,9.076230838770387,9.076230838770387
37,1850.0,1850.0,0.0,0.0,0.0,Stable,4,124.76067194043983,124.76067194043983,124.76067194043983,124.76067194043983
38,1900.0,1900.0,0.0,0.0,0.0,Stable,4,126.98947983863727,126.98947983863727,126.98947983863727,126.98947983863727
39,1950.0,1950.0,0.0,0.0,0.0,Stable,4,70.198797910198,70.198797910198,70.198797910198,70.198797910198
40,2000.0,2000.0,0.0,0.0,0.0,Stable,4,96.96953621236689,96.96953621236689,96.96953621236689,96.96953621236689
41,2050.0,2050.0,0.0,0.0,0.0,Stable,4,111.19468672421267,111.19468672421267,111.19468672421267,111.19468672421267
42,2100.0,2100.0,0.0,0.0,0.0,Stable,4,0.06194406443165425,0.06194406443165425,0.06194406443165425,0.06194406443165425
43,2150.0,2150.0,0.0,0.0,0.0,Stable,4,0.16346088373501227,0.16346088373501227,0.16346088373501227,0.16346088373501227
44,2200.0,2200.0,0.0,0.0,0.0,Stable,4,0.7710578202426798,0.7710578202426798,0.7710578202426798,0.7710578202426798
45,2250.0,2250.0,0.0,0.0,0.0,Stable,4,0.5488589788228996,0.5488589788228996,0.5488589788228996,0.5488589788228996
46,2300.0,2300.0,0.0,0.0,0.0,Stable,4,0.9632747910729296,0.9632747910729296,0.9632747910729296,0.9632747910729296
47,2350.0,2350.0,0.0,0.0,0.0,Stable,4,0.6001259006976056,0.6001259006976056,0.6001259006976056,0.6001259006976056
48,2400.0,2400.0,0.0,0.0,0.0,Stable,4,63.44788560099132,63.44788560099132,63.44788560099132,63.44788560099132
49,2450.0,2450.0,0.0,0.0,0.0,Stable,4,109.35796204682833,109.35796204682833,109.35796204682833,109.35796204682833
50,2500.0,2500.0,0.0,0.0,0.0,Stable,4,100.95867381771951,100.95867381771951,100.95867381771951,100.95867381771951
51,2550.0,2550.0,0.0,0.0,0.0,Stable,4,106.54784813925585,106.54784813925585,106.54784813925585,106.54784813925585
52,2600.0,2600.0,0.0,0.0,0.0,Stable,4,0.29396870642311834,0.29396870642311834,0.29396870642311834,0.29396870642311834
53,2650.0,2650.0,0.0,0.0,0.0,Stable,4,0.13745621624080853,0.13745621624080853,0.13745621624080853,0.13745621624080853
54,2700.0,2700.0,0.0,0.0,0.0,Stable,4,37.39155963316355,37.39155963316355,37.39155963316355,37.39155963316355
55,2750.0,2750.0,0.0,0.0,0.0,Stable,4,0.4728315161169823,0.4728315161169823,0.4728315161169823,0.4728315161169823
56,2800.0,2800.0,0.0,0.0,0.0,Stable,4,55.44663414591137,55.44663414591137,55.44663414591137,55.44663414591137
57,2850.0,2850.0,0.0,0.0,0.0,Stable,4,105.19956965641668,105.19956965641668,105.19956965641668,105.19956965641668
58,2900.0,2900.0,0.0,0.0,0.0,Stable,4,95.97835899198391,95.97835899198391,95.97835899198391,95.97835899198391
59,2950.0,2950.0,0.0,0.0,0.0,Stable,4,121.54658740724386,121.54658740724386,121.54658740724386,121.54658740724386
60,3000.0,3000.0,0.0,0.0,0.0,Stable,4,119.98440187441503,119.98440187441503,119.98440187441503,119.98440187441503
61,3050.0,3050.0,0.0,0.0,0.0,Stable,4,123.98391984426021,123.98391984426021,123.98391984426021,123.98391984426021
